footprint,nstories,buildingheight,eraBuilt,garageExists
"POLYGON ((37.9633177 37.4385091, 37.9633549 37.4385073, 37.9633556 37.4385156, 37.9633434 37.4385162, 37.9633442 37.438527, 37.9633564 37.4385264, 37.9633575 37.4385413, 37.9633139 37.4385434, 37.9633125 37.4385247, 37.9633189 37.4385244, 37.9633177 37.4385091))",,,N/A,
"POLYGON ((37.2517222 37.014179, 37.2517641 37.0141402, 37.2517384 37.0141154, 37.2517034 37.0141456, 37.2517222 37.014179))",,,N/A,
"POLYGON ((37.4113836 37.0631979, 37.411384 37.0631394, 37.4112958 37.063139, 37.4112955 37.0631815, 37.4113113 37.0631816, 37.411311 37.0632313, 37.4113408 37.0632314, 37.4113411 37.063185, 37.4113582 37.0631851, 37.4113581 37.0631978, 37.4113836 37.0631979))",3,66.7,Pre-1970,True
"POLYGON ((37.3644025 37.0490919, 37.3644264 37.0490605, 37.3643087 37.0490034, 37.3643198 37.0489887, 37.3642931 37.0489758, 37.364249 37.0490337, 37.3643197 37.0490679, 37.3643287 37.0490561, 37.3644025 37.0490919))",1,19.3,Pre-1970,False
"POLYGON ((37.3754325 37.0941043, 37.3753776 37.0938747, 37.3755918 37.0938421, 37.3756467 37.0940717, 37.3754325 37.0941043))",3,48.6,Pre-1970,True
"POLYGON ((37.3695471 37.0660219, 37.3696212 37.0658225, 37.3698285 37.0658715, 37.3697545 37.0660709, 37.3695471 37.0660219))",2,35.8,Pre-1970,True
"POLYGON ((37.3878611 37.066908, 37.3878603 37.0669693, 37.3878922 37.0669696, 37.3878929 37.0669083, 37.3878611 37.066908))",1,12.6,Pre-1970,False
"POLYGON ((37.4072378 37.1781647, 37.4070587 37.178179, 37.4070461 37.1780788, 37.4072252 37.1780645, 37.4072378 37.1781647))",1,14.3,Pre-1970,False
"POLYGON ((37.3652689 37.0496731, 37.3652688 37.0496808, 37.365347 37.0496814, 37.365348 37.049596, 37.3652698 37.0495954, 37.3652689 37.0496731))",2,26.0,Pre-1970,False
"POLYGON ((37.3985164 37.0537863, 37.398532 37.0537969, 37.3985666 37.0537646, 37.398551 37.053754, 37.3985345 37.0537695, 37.3985164 37.0537863))",2,35.9,Pre-1970,True
