id,Latitude,Longitude,OccupancyClass,StructureType,YearBuilt,NumberOfStories,ReplacementCost
5306,36.4884,36.3577,RES1,C3L,1971,1,2
5307,36.4884,36.357899,RES1,C3L,1971,1,2
5308,36.4879,36.3578,RES1,C3L,1971,1,2
5309,36.487801,36.357498,RES1,C3L,1971,1,2
5310,36.488701,36.3563,RES1,C3L,1971,1,2
5311,37.0592,37.273201,RES1,C3L,1971,1,2
5312,36.856499,40.036301,RES1,C3L,1971,1,2
5313,36.4884,36.3573,RES1,C3L,1971,1,2
5314,36.488499,36.3573,RES1,C3L,1971,1,2
5315,37.062401,37.275299,RES1,C3L,1971,1,2
5316,36.861099,36.204399,RES1,C3L,1971,1,2
5317,36.861099,36.2047,RES1,C3L,1971,1,2
5318,36.860901,36.205002,RES1,C3L,1971,1,2
5319,36.860802,36.205002,RES1,C3L,1971,1,2
5320,36.861099,36.205002,RES1,C3L,1971,1,2
